Crash_ID,Damaged_Property
11365409,GUARDRAIL
11365431,2 PEDESTRIAN SIGNAL HEADS
11365431,SIGNAL POLE
11365528,SIGN
11368614,10 FEET OF CHAINLINE FENCE
11369131,FENCE
11383602,ELECTRICAL BOX
11383723,40 FOOT GUARD RAIL
11390567,CHAIN LINK FENCE (10 FEET)
11390574,DIVIDING GUIDE WIRE FENCE
11390935,CHAIN LINK FENCE
11393847,10' OF ROCK WALL 2' HIGH
11394730,"STEEL POLE AND 8""X8"" MILE MARKER 031"
11394752,FIRE HYDRANT
11395320,TREE LIMB
11395534,ROCKWALL
11395536,BRICK MAILBOX
11395542,ROCK WALL AND HOUSE WALL
11402894,KFC SIGN DRIVE THRU
11406247,ELECTRIC POOL
11406247,STOP SIGN
11409095,CHAN LINK FENCE
11409125,20 FEET OF FENCE DAMAGED
11409131,ELECTRIC POLE
11412396,US POST OFFICE MAILBOXES
11423943,ALUMINUM LIGHT POLE
11423945,STEEL POLE FENCE
11423946,SAFETY RAIL
11426047,GAS METER
11433129,ELECTRIC POLE
11433146,EXIT 39 ROAD SIGN
11433249,15 FT BRICK WALL/1 TREE/ROCK LANDSCAP
11434273,GARAGE DOOR
11434507,55' CONCRETE BARRIOR
11434507,20' ALUMINUM GUARD RAIL
11434691,GUARDRAIL
11435300,'10 FEET OF GUARDRAIL
11437681,LIGHT POLE BASE
11437801,15 FOOT SECTION OF CHAINLINK FENCE
11437801,FIRE HYDRANT
11443028,CHAIN LINK FENCE (10 FEET)
11443418,YIELD SIGN
11457284,CHAIN LINK FENCE
11460563,FENCE
11460567,FIRE HYDRANT
11462498,STREET WARNING SIGN
11463060,MEDIUM TREE
11464540,CHAIN LINKED FENCE
11464591,CEMENT BARRIER
11469221,CHAIN LINK FENCE APPROX. 30 FT
11472718,OUTSIDE WALL OF POCO LOCO
11472909,DITCH
11472916,GARAGE DOOR
11472918,CHIAN LINK FENCE
11472920,GARAGE DOOR
11472921,CHAIN LINK FENCE
11472923,DRAIN DITCH
11472931,CHAIN LINK FENCE
11476575,GUARDRAIL
11482805,ROCKWALL
11489362,CHAIN LINK FENCE
11490024,LIGHT POST
11491392,ELECTRIC COMPANY LIGHT POLE
11491743,BRICK WALL 2FT TALL 50FT LONG
11491795,25 FT BARBWIRE
11494495,5-6 FT OF IRON GATE
11497575,GAS METER
11497579,GAS METER
11500907,CEMENT BARRIER
11511073,FRONTEND BUSINESS GLASS DOORS
11519462,STEEL POLE SURROUNDED BY ROCK BRICK
11521378,ROCK WALL
11521650,FIRE HYDRANT
11522563,BLACK BARRIER DRUMS
11523267,CURB
11525167,STREETLIGHT POLE & LUMINAIRE
11532741,ELECTRICAL POLE
11535461,FRONTEND BUSINESS GLASS DOORS
11535462,30 FT CHAIN LINK FENCE
11535493,GUARD FENCE 20 FEET OF DAMAGE
11535493,EXTRUDER TERMINAL (START OF GUARDRAIL)
11537296,3-POSTS WOOD
11537296,GUARD FENCE
11539739,BUSHES
11542161,OBJECT MARKER
11542179,ROCK WALL
11542180,GAS METER
11544048,GUARD RAIL
11544049,ROCK WALL TO 415 W. REDD #35B
11551209,LIGHT POST
11562558,CINDERNBLOCK WALL/WROUGHT IRON FENCE
11562694,CAUTION STREET SIGN
11564597,YIELD SIGN
11564603,FLASHING BEACON SYSTEM
11565886,"""BEGIN RIGHT TURN LANE YIELD TO BIKES""S"
11565910,BARRICADE
11565924,STONE WALL
11565924,ELCTRIC POLE
11566485,GUARD RAIL
11566756,STOP SIGN
11566918,ROCKWALL
11573437,WATER LINE
11573502,WARNING SIGN (CURVE AHEAD)
11573511,GUARD FENCE
11576827,STEEL POLE
11577863,CHAIN LINK FENCE
11579015,MAIL BOX
11579015,MAIL BOX
11589039,CHAIN LINK FENCE
11591841,WOOD ELECTRIC POLE
11594276,TELEPHONE POLE
11594428,STEEL CABLE
11594445,12 FOOT GATE
11594464,ROCK WALL
11594623,LIGHT POLE
11594934,MAIL BOX
11595285,UTILITY LIGHT POLE
11595307,ROCK WALL
11595859,ONE GAS METER
11596674,CENTER BARRIER
11597058,ROCK WALL
11597092,3' HIGH METAL POLE HOLDING CABLES SERPER
11597486,STOP SIGN
11597581,FENCE
11598149,LIGHT POLE
11598293,150 FT GUARD RAIL
11598321,CABLE BARRIER SYSTEM LINE POSTS
11598339,20 FEET OF DAMAGED STREET
11598731,40' SECTION ROCK WALL
11598731,40' SECTION CORRUGATED METAL FENCE
11598840,TREE SHRUBS (2)
11598840,CIDER/BRICK RETAINING WALL
11598886,"SPEED LIMIT SIGN ""45"""
11598900,GUARD RAIL
11599478,CUSTOM MAILBOX BUILT FROM ROCK
11602170,PALM TREE
11602170,BRICK WALL DIVIDING PROPERTY
11602510,3 FEET OF GUARD RAIL
11602870,BRICK FENCE
11606781,GUARD RAIL
11606916,SHRUBERY AND LANDSCAPING
11606940,SMALL SIGN
11606961,NO PARKING SIGN
11607016,CITY LIGHT POLE
11607306,GAS METER
11607319,FIBER OPTIC CABLE
11610056,CONCRETE BARRIERS
11611440,METAL STREET LIGHT POLE
11612802,BARB WIRE FENCING WITH WOODEN POST
11612809,50 FEET OF GUARD RAIL
11615573,WOODEN FENCE
11618685,CROSS WALK STREET SIGN
11622895,COPPER PIPE WITH LARGE WATER VALAVE AND
11622932,INTERSTATE 10 SIGN
11622984,PORTION OF GARAGE ROOF AND ROCK WALL
11622985,ELECTRIC POLE GUIDE WIRES
11623044,BRICK MAILBOX
11623125,EVERGREEN TREE APPROX 10'X6'
11623125,WROUGHT IRON DOOR APPROX 8'X4'
11623125,EXTERIOR CEILING APPROX 2'X5'
11623125,N/W CORNER EXTERIOR WALL 3400 HAMILTON
11623462,RAIL GUARD
11623967,U-TURN SIGN
11623967,NO PARKING SIGN
11628620,MED PINE BUSH
11629941,METAL FENCE
11629944,FUEL PUMP
11630260,SCHOOL ZONE SPEED LIMIT SIGN
11630781,THREE CABLE BARRIER SYSTEM POLES
11633506,10 FEET OF CHAINLINK FENCE
11633693,GUARD RAIL
11638254,DRIVE THRU GAURD RAIL
11638313,TRAFFIC CONTROL SIGN
11638313,LIGHT POLE
11638425,GUARD RAIL
11638612,STOP SIGN POLE
11639734,ONE WAY ROADWAY SIGN
11639783,STRET SIGN
11639906,FIRE HYDRANT
11639909,4-5 FT OF METAL GUARD RAIL
11643522,CENTER MEDIAN (CURB)
11643551,FIRE HYDRANT
11643569,200 FT OF REBAR
11643645,GUARD RAIL
11643733,GE DRYER
11643733,WHIRLPOOL STOVE
11643746,25 FT WROUGHT IRON FENCE
11643748,GUARD FENCE
11643748,MULTI SIGN MOUNT
11643752,ROCK WALL & LANDSCAPING
11643752,WATER MAIN BACK FLOW
11643823,LANDSCAPE AND LARGE TREE
11646867,CINDER WALL (6X8)
11646880,EXTRUDER TERMINAL (BARRIER)
11646880,CABLE BARRIER SYSTEM
11647046,SIGN
11647060,APPROX 30 FT CHAINLINK FENCE
11647074,GAS METER
11647074,CHAIN LINKED FENCE
11647076,ROAD SURFACE
11654659,MULTI SPEED BICYCLE
11654733,GUARD/STEEL POST & TANGET SECTION
11654967,GAS METER
11655016,MAILBOX AND CONCRETE
11655113,TRAFFIC CONTROL SIGNAL CONTROL BOX
11661111,LUMINAIRE LIGHT POLE
11661112,40' OF 8' CHAIN LINK FENCE W/3 BARB WIRE
11661117,RESIDENCE WALL
11661121,ROADSIDE MARKERS
11662331,CHAIN LINK FENCE
11662344,ROCK WALL
11666210,GUARD HOUSE WALL
11668204,3 UTILITY WOOD POLES
11668204,FIBER OPTIC LINE
11668487,GUARDRAIL TO OFF RAMP
11669047,CONCRETE WALL
11669056,FIRE HYDRANT
11670663,20 FEET OF CHAINLINK FENCELINE
11671905,10 FOOT ROCK WALL
11671998,GAS METER
11672000,TRASH DUMPSTER
11690615,CHAIN LINK FENCE AND METAL POST.
11691774,WOOD LIGHT POLE
11691807,GUARDRAIL
11691958,WIRE MEDIAN
11694631,PALM TREE
11694793,2-FOOT HIGH ROCK WALL
11707151,CHAIN LINK FENCE/20 FT.
11707151,70 FT. WOODEN UTILITY POLE
11713150,FENCE
11717217,PORTABLE SIGN
11718241,FENCE AND CINDER BLOCK WALL
11718243,TRAFFIC CONTROL SIGN
11718296,EXIT 6 SIGN
11719357,CHAIN LINK FENCE W/2 METAL POSTS
11719361,METAL GUARD 15'
11719692,GUARD FENCE
11719692,STREET LIGHT POLE
11728879,GUARDRAIL
11728897,RETAINING ROCK WALL
11728924,2 TREES
11728928,POWER SUPPLY
11731722,CROSS WALK SIGN
11731846,LUMINAIRE (STREETLIGHT)
11731846,LANDSCAPING
11731849,25' CHAIN LINKED FENCE
11731862,TEXAS ID CARD
11731874,PROTECTIVE WOODEN POLE
11731915,WOOD POLE
11731935,GUARDRAIL-GUARD FENCE
11731987,YELLOW RAIL GATE
11736374,WROUGHT IRON FENCE/2 SECURITY POLES
11740368,ROCK WALL
11742363,LUMINAIRE
11742429,WOOD SIGN
11742429,CABLE BOX
11751141,STEET LIGHT (POLE)
11751141,CEMENT BARRIER
11751300,SIGNAL LIGHT POLE
11751835,WRONG WAY STREET SIGN
11751911,ROCK WALL
11752388,STEEL LIGHT POLE
11752676,PINE TREE/BUSH
11752949,WROUGHT IRON FENCE
11753070,100 FT OF GUARD RAIL
11753294,CONCRETE POLE
11753777,CEMENT WALL
11753845,SECURITY CHAIN
11753901,20 FEET OF CHAIN LINK FENCE
11754052,GUARD RAIL
11754247,ROCKWALL AND LANDSCAPING
11756314,BED MATTRESS
11756336,MAILBOX
11756356,CONCRETE BARRIER
11758671,CABLE / ELECTRIC BOX
11758835,PORCH
11759402,LIGHTPOLE
11760386,CHAIN LINK FENCE
11768066,CHAIN LINK FENCE AND POLE
11768066,ELCTRICITY SERVICE POLE
11771025,6 FT BY 10 FT CHAIN LINK FENCE
11771450,GUARDRAIL
11772607,WATER LINE
11775172,WROUGHT IRON FENCE
11775172,FIRE HYDRANT
11776102,GAS METER
11776905,NATURAL GAS METER
11777506,STREET LIGHT POLE
11777506,GUARD FENCE
11777510,PROTECTIVE CABLE BARRIER 350 FEET DAMAGE
11778230,CHAIN LINK FENCING
11779642,6' TREE
11785610,MAIL BOX/BUSHES
11785610,TREE
11787251,CURB
11787251,PEDESTRIAN GUARD RAIL
11787319,GUARD FENCE
11787511,WOODEN POST
11787562,20 FEET OF DAMAGED GUARDRAIL
11787577,FIRE HYDRANT
11790119,50 FEET OF FENCE
11790776,FRONT YARD
11790785,ELECTRICAL POLE
11794621,LUMINAIRE POLE
11795345,ROCK WALL
11812404,CONCRETE WALL (LEFT CENTER BARRIER)
11812404,METAL GUARD RAIL (RIGHT BARRIER)
11812597,4 POLES
11812600,20' SECTION METAL BARRIER
11812622,MAILBOX
11812622,MAILBOX
11812628,TRAFFIC CONTROL SIGNAL POLE
11812683,LANDSCAPING
11812683,LANDSCAPING
11813643,CHAIN LINK FENCE
11813679,STEEL MODULAR
11814113,METAL FENCE POLE
11814154,PESESTRIAN SIGNAL LIGHT POLE
11814159,SPEED LIMIT SIGN
11814170,2FT. CONCRETE DIVIDER WALL
11816072,LANDSCAPING
11816104,NO PARKING SIGN
11816434,LANDSCAPING (ROCKWALL AND BUSHES)
11816760,STEEL GUARD RAIL 20 FT
11816792,10 FT GUARD RAIL
11817952,LIGHT POLE
11821895,OVERPASS WALL
11823312,SPEED LIGHT SIGN
11823462,ROCKWALL LANDSCAPING
11823575,FRONT LANDSCAPING
11823575,FRONT LANDSCAPING
11823604,RED BRICK MAIL BOX
11824231,METAL GUARDRAIL
11824280,"LARGE ""EXIT"" SIGN"
11824280,GUARDRAIL EXTRUDER TERMINAL
11824289,GUARD RAIL
11824294,"""PHOTO ENFORCED"" YELLOW SIGN WITH MOUNT"
11824505,SIGNAL LIGHT
11825072,TRAFFIC CONTROL SIGN WITH METAL POLE
11825472,FUEL PUMP
11825824,CONCRETE POST
11825887,MAILBOX
11825940,METAL LIGHT POLE KNOCKED DOWN
11834518,CEMENT BARRIER
11834592,FIRE HYDRANT
11834790,20 FT GUARD RAIL
11834825,CHAIN LINKED FENCE
11840614,EXTERIOR GARAGE DOOR
11840614,GARAGE DOOR
11841057,GUARD RAILING
11845641,GUARD RAILING ENDING APPX 10FT.
11845654,4 EACH CABLE BARRIER SYSTEM POSTS
11845803,UNION PACIFIC RAILROAD GATE ARM
11847106,CHAIN LINK FENCE AND POST
11847635,SHRUBS/ROCK LANDSCAPING
11847695,LANSCAPE SHRUBS
11847696,BRICK TREE PLANTER
11847835,SINGLE LIGHT LIGHTPOLE
11848029,CONCRETE BARRIER
11849973,FENCE
11850042,STOP SIGN
11850054,MAIL BOX
11854189,ROCKWALL
11854464,METAL GUARDRAIL
11854464,LIGHT POLE
11858112,40' GREEN LIGHT POLE
11858176,PALM TREE
11858233,GUIDE WIRE
11858288,GUARDRAIL
11858312,TRAFFIC SIGN
11863446,LIGHT POLE
11869546,TREE
11869576,LANDSCAPE BRUSH AND SHRUBS
11872629,MAIL BOX
11872629,MAIL BOX
11872632,CONCRETE BARRIER
11873067,GUARD SHACK
11873895,FENCE
11875404,LIGHT POLE
11875691,GARAGE DOOR
11875691,STRUCTURE DAMAGE
11875830,GAS METER
11875891,ROCK WALL AND CHAIN LINK FENCE
11877640,CENTER MEDIAN GUARDRAIL
11879313,FENCE
11879313,STOP SIGN
11879428,CONCRETE BARRIER
11879567,BUSHES
11879652,STOP SIGN/POST
11879720,CONCRETE BARRIER INTERSTATE DIVIDER
11879727,GUARDRAIL AND POST
11879761,LANDSCAPING
11885655,FIRE HYDRANT
11889028,BARRIER
11892221,METAL BARRIER
11901015,30 FT OF CHAIN LINK FENCE
11901159,60' OF CHAIN LINK FENCE
11901208,1 STEEL SUPPORT POST
11901246,CABLE BOX
11902578,MAILBOX
11902597,TELEPHONE WIRES
11902615,LARGE CACTUS PLANT/LANDSCAPE
11902622,LANDSCAPE BUSH/EVERGREEN
11902634,BASKET BALL RIM POLE
11902662,IRRIGATION DITCH PIPE
11905110,CENTER BARRIER W/POST
11905112,SMALL STREET SIGN
11912077,2 POWER POLE
11912279,GAURD RAIL
11912352,INFORMATION SIGN
11912361,METAL GUARDRAIL
11912398,CONCRETE BARRIER
11912424,GUARD RAIL
11913010,METAL TURN ONLY SIGN & POLE
11913060,METAL STREET LIGHT
11913061,RAISED CEMENT BARRIER
11913067,GUARDRAIL
11913122,5 FT OF METAL GUARD RAIL
11924343,GATE POST
11924675,"PASSENGER SIDE VIEW MIRROR, PASSENGER DO"
11924760,LIGHT POLE
11924972,2 METAL SUPPORTS AND 50' CABLE
11924997,SIGNAL HEAD
11926136,BLACK MAIL BOX/WOODEN POST
11926200,GUARD RAIL
11926289,ROCK WALL
11926302,3 REFLECTOR POLES
11926323,MAKESHIFT BARRIER
11926323,MULBERRY TREE
11926526,50 FT CHAIN LINK FENCE
11926542,10 FT GUARD RAIL
11926825,WIRE GUARD RAIL AND 4 SUPPORT POSTS
11927841,CHAIN LINK FENCE 30 FT AND 2 WOOD POLES
11930705,SMALL DO NOT ENTER SIGN
11933774,ROCK WALL
11933784,GUARD RAIL
11933902,OUTSIDE WOODEN LANDSCAPING
11933946,EAST SIDE EXTERIOR WALL OF BUSINESS (744
11934069,STOP SIGN W STREET NAME SIGNS
11934379,ROCKWALL
11934661,RED BRICK MAILBOX HUTCH
11935350,POWER LINE POLE
11935792,CLAMPS(STOP SIGN)
11935792,POLE (STOP SIGN)
11935967,METAL POST
11935967,TERMINAL POST ANCHOR
11935968,DOG-GERMAN SHEPARD
11935971,LANDSCAPING
11936776,1 STOP SIGN AND POLE
11936804,MEDIAN RETAINING SYSTEM
11951212,MAST ARM TRAFFIC SIGNAL (SIGNAL HEAD)
11951212,TRAFFIC SIGNAL LIGHT POLE
11951217,ROCK WALL/CHAIN LINK
11951230,ROCKWALL
11951290,GUARD RAIL
11951298,GUARD FENCE
11951340,I-10 EXIT SIGN (#8)
11951346,CHAIN LINK FENCE
11951396,GAS METER
11951399,PALM TREE
11953223,BUILDING SIGN
11953323,12 X 5 FT. SECTION OF CHAIN LINK FENCE
11953328,FENCE TO CHAIN LINK POLES
11959770,ONE WAY SIGN
11960846,TX DOT
11960898,STEEL GUARDRAILS 30 FT
11961638,ROCKWALL
11961638,STOP SIGN/POST
11961697,RAISED CEMENT BARRIER
11961838,SIGNAL LIGHT
11961920,SIGNAL LIGHT
11962046,MCDONALDS DRIVE THRU SIGN
11962940,GUARD RAIL
11962986,ONE BLACK AND YELLOW (CURVE SIGN)
11963850,ROCK WALL
11964070,10 FEETGUARD FENCE
11964070,4 CABLE BARRIER POST
11964084,BEDROOM WINDOW
11964084,CHAIN LINK FENCE
11969733,SHRUB
11969760,CHAIN LINK FENCE
11969760,SPEED LIMIT SIGN
11969867,METAL GUARD RAIL
11979075,20FT OF GUARDRAIL
11979338,WALL/BUILDING
11979698,LIGHT POLE
11979875,GAS METER
11979875,BASKETBALL COURT POLE
11985989,20 FEET OF CHAIN LINKED FENCE
12000722,GUARDRAIL
12001097,ROCK WALL
12001414,70 FT GUARD RAIL
12001463,ROCK WALL
12001505,CHAIN LINK FENCE (APPROX 10')
12001535,CONCRETE MEDIAN
12002524,RED FIRE HYDRANT TRAFFIC POLE
12007012,GREY TRAFFIC CONTROL BOX
12013432,DAMAGED CULTIVATING LAND
12016520,SIGN
12017028,TRAFFIC SIGN
12021143,GUARD RAIL
12021476,METAL LIGHT POLE
12021816,CEMENT BARRIER
12021864,10FT OF ROCK WALL
12021948,CEMENT BARRIER
12021955,CEMENT WALL
12022092,EXIT SIGN
12022151,SEVERAL TREES
12022188,"""TURN-ONLY"" TRAFFIC CONTROL SIGN"
12022194,CABLE BARRIER SYSTEM
12023475,METAL GUARDRAIL
12023517,BUSHES
12023517,PEDESTRIAN CROSSING SIGN
12023612,5 FOOT YELLOW METAL POLE
12023650,TREE AND SHRUBS
12024966,EXTRUDER TERMINAL
12024966,GUARD FENCE
12025072,GUARDRAIL
12025077,GUARDRAIL
12025116,ANCHOR SECTION POSTS
12025116,WOOD POST
12025191,ROAD SIGN AND LANDSCAPING
12025282,ROCK WALL
12053102,CONCRETE STRUCTURE/SUPPORTS
12062362,MAILBOX
12062393,GAS METER
12062403,2 TREES
12062542,LIGHT POLE
12062553,1999 YELLOW TRAILER
12062842,30' CHAIN LINK & 4 STEEL POLES
12063264,10FT OF GUARDRAIL
12063298,PARKING SIGN
12063298,LIGHT POLE
12063604,PINE TREE
12063605,STEEL POSTS BARRIER
12063738,GUARDRAIL
12063809,EL PASO ELECTRIC POWERLINE
12063947,FENCE
12063957,FRONT OF RESIDENCE/ROCK WALL (3921 N. PI
12063957,FRONT OF RESIDENCE (3921 N. PIEDRAS APT
12064012,CHAIN LINK FENCE
12064395,LANDSCAPING
12064395,STOP SIGN
12065356,SHOPPPING CART
12065358,CONCRETE CENTER BARRIER
12069196,COPPER WATER LINE
12069196,LIGHT POLE
12069284,LIGHT POLE
12069391,20 FT GUARD RAIL
12075771,METAL SUPPORT BEAMS FOR BARRIER CABLES
12080490,5' FOOT CHAIN LINK FENCE
12086569,20 FT CHAIN LINK FENCE
12086600,RAISED CONCRETE MEDIAN
12086833,CONCRETE BARRIER
12086885,CONCRETE CEMENT WALL
12086920,ALUMINUM LIGHT POLE
12087365,CROSSWALK SIGNAL
12087604,MAIL BOX AND WOOD POOL
12087670,30FT OF CEMENT BARRIER
12087747,LANDSCAPING LIGHT
12087895,TRAFFIC SIGN (BLUE INFORMATION)
12088072,METAL POST AND CABLE BARRIER
12088102,ROCK WALL
12088161,70 FT. CHAIN LINK FENCE
12093962,ACCIDENT CONTROL DELINEATOR (GUARDRAIL)
12093962,CHAIN LINK FENCE
12094039,STREET SIGN
12094039,STREET LIGHT AND POLE
12094053,CABLE BOX
12094077,3 WIRE STEEL CABLE 7 SUPPORT POLES/REFL
12094078,GARDEN EVERGREEN
12094078,MAILBOX
12094427,CENTER BARRIER CABLE FENCE
12094547,LUMINAIRE
12094547,LIGHT POLE
12094548,30 FEET OF GUARDRAIL
12094777,GUARDRAIL
12094873,GUARD RAILS
12094920,ROCK WALL
12094930,20' GUARD RAIL WITH 6 POSTS
12095008,PLASTIC BARRIER
12096230,CINDER BLOCK WALL
12110478,FENCE LINE
12110478,SPEED LIMIT SIGN
12110835,ROCK WALL
12111445,STREET SIGN
12112975,WOODEN UTILITY/ELECTRIC WIRE POLE
12113014,CABLE BARRIER SYSTEM POST
12119347,FIRE HYDRANT AND HOSE ATTACHMENT
12122272,ELECTRIC CABLE
12122413,EL PASO DISPOSAL COMMERCIAL DUMPSTER
12125347,GUARDRAIL
12125497,ROCKWALL
12125777,WINDOWS AND FRAMES
12125949,HIGHWAY EXIT 32 SIGN
12126037,4 BLACK BUMPER BARRELS
12126119,LIGHT POLE
12126763,FIRE HYDRANT
12130050,EXIT 39 ROAD SIGN
12132148,GUARD RAIL
12136132,GUARD FENCE
12136584,GAS METER
12136633,20' OF CHAIN LINK FENCE
12136769,ROCK WALL FT BLISS
12136769,TRAILER
12136790,ROCKWALL
12138240,20 FT ROCKWALL
12138240,1 FT ROCKWALL
12138290,STREET LIGHT POLE
12138337,10 FEET OF CEMENT BARRIER
12138358,DRIVEWAY CHAIN/CABLE
12138411,SIGN
12138417,FOUR 3 FEET TALL SHRUBS
12138429,STOP SIGN AND POLE
12138434,MIAL BOX
12138437,HIGHWAY EXIT SIGN
12140097,POWER LINE
12140114,KEEP RIGHT SIGN
12141004,GUARD RAIL WARNING SIGN
12141005,STOP SIGN
12141647,METAL POLES
12142479,APPROX 15 FT OF GUARDRAIL
12142482,UTILITY POLE
12144066,CHAIN LINK FENCE
12144072,GUARD RAIL
12144074,6 FOOT CEMENT STATUE
12147360,CHAIN LINKED FENCE (GATE)
12148417,MAILBOX AND WOODEN POLE
12148439,WIRED FENCE
12148517,GUARD RAIL
12148544,APPROX 30 FT CHAIN LINK FENCE
12150349,APARTMENT BUILDING WALL
12151044,METAL GARD RAIL
12153535,LUMINAIRE POLE
12158752,10 FT OF GUARDRAIL
12158814,GUARD RAIL FENCE
12158888,7 FEET TALL INFORMATION SIGN
12159035,CINDERBLOCK WALL AND CHAIN LINK FENCE
12159035,TREE AND CHAIN LINK FENCE
12160541,SIGNAL LIGHT POLE
12160541,TRAFFIC SIGNAL BOX
12171914,ROCKWALL
12171966,3FT BY 10 FT ROCK WALL
12171984,MAILBOX
12171984,SPRINKLERS
12171990,CORNER ROCK WALL AND CABLE
12172029,MAIL BOX
12172041,CINDER BLOCK FENCE
12173939,GAS METER
12173939,BASKETBALL COURT POLE
12176095,LANDSCAPING
12176217,CARGO 1965 CHEVY IMPALA NMPL# HGF511
12176464,CROSSWALK WARNING SIGN
12176464,JUNIPER BUSH
12176569,CHAIN LINK FENCE
12178796,WOODEN RAILROAD TIES
12178937,HORSE
12178937,ROCK WALL
12178938,ROAD SIGN
12181271,5 FT OF ROCK WALL
12181273,ROCK WALL
12181303,RED BRICK MAIL BOX
12182335,WHITE METAL FENCE
12182468,TRAILER
12182501,75FT OF STEELCABLE
12182507,TRAFFIC SIGN POLE
12182563,CRUSH CUSHION STEEL MODULAR
12182599,STREET SIGHN
12182601,STOP SIGN 12' MOUNT
12182604,STOP SIGN
12182658,GUARD RAIL
12182660,STREET SIGN
12182660,STREET SIGN
12182662,CONCRETE BARRIER
12185912,GUARDRAIL
12187951,ROCK LAND SCAPING
12187962,CACTUS TREES
12187974,BRICK MAIL BOX
12187982,TWO STEEL BEAMS FOR CONSTRUCTION
12188025,FENCE
12188042,20 FT SECTION OF STEEL GURADRAIL AND 3 W
12188046,RIGHT TURN LANE SIGN
12188787,CEMENT BARRIER
12189796,ROD IRON FENCE
12189896,20 FOOT LIGHT POLE WITH LIMINAIRE
12191867,LINKED CHAIN
12191890,UTILITY POLE
12195035,30 FEET DAMAGED CHAIN-LINK FENCE
12195864,MATURE CENTURY PLANT
12200469,BUSH
12200469,METAL LIGHT POST
12203728,4 STEEL POSTS/CABLE BARRIER SYSTEM
12204511,CABLE BARRIER SYSTEM
12205317,CONCRETE BARRIER POLE
12206007,METAL GUARD RAIL
12206119,LANDSCAPING
12206180,GUARD FENCE
12206468,CHAIN LINK FENCE/GATE
12206521,ROCK WALL
12206529,100'X6' CHAINLINK FENCE
12211916,METAL ELECTRIC POLE
12211923,ROCKWALL
12211969,METAL GUARD RAIL
12211983,TREE
12211988,MULTI SIGN POST
12219440,MAIL BOX
12219440,CHAIN LINK FENCE
12219549,MAIL BOX
12219549,CABLE BOX
12220550,GUARD RAIL
12221356,30 FT OF ROCK WALL WITH CHAIN LINK FENCE
12221357,LIGHT POLE
12221361,RAILROAD ARM
12222750,FENCE
12222750,ROCKWALL
12230689,WALL/STRUCTURE TO BUILDING
12230718,MAILBOX
12232508,METAL GATE AND SUPPORTING POST
12232889,CONCRETE BARRIER
12232943,200 FT GUARDRAIL
12232981,SCHOOL CROSSING SING
12233009,BUILDING/BUILDING WALL
